INFO:root:Application Started
INFO:tornado.access:200 POST /update (::1) 14.56ms
INFO:tornado.access:200 POST /events (::1) 10.06ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 9.19ms
INFO:tornado.access:200 POST /events (::1) 9.98ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 14.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 17.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 16.00ms
INFO:tornado.access:200 POST /events (::1) 5.02ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.86ms
INFO:tornado.access:200 POST /events (::1) 8.94ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.88ms
INFO:tornado.access:200 POST /events (::1) 5.01ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.96ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 6.09ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 18.80ms
INFO:tornado.access:200 POST /events (::1) 8.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.95ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 7.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.97ms
INFO:tornado.access:200 POST /events (::1) 7.97ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 15.99ms
INFO:tornado.access:200 POST /events (::1) 12.18ms
INFO:tornado.access:200 POST /env/main (::1) 0.00ms
INFO:tornado.access:101 GET /vis_socket (::1) 0.00ms
INFO:root:Opened visdom socket from ip: ::1
INFO:tornado.access:200 POST /close (::1) 0.00ms
INFO:root:from web client: {"cmd":"close","data":"Progress","eid":"main"}
INFO:root:closing window Progress
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 9.24ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 9.11ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.96ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.63ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 0.00ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.82ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 10.79ms
INFO:tornado.access:200 POST /events (::1) 7.96ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.97ms
INFO:tornado.access:200 POST /events (::1) 5.09ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 11.32ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 7.99ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 11.43ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.00ms
INFO:tornado.access:200 POST /events (::1) 5.07ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 10.13ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 16.79ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 8.03ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.61ms
INFO:tornado.access:200 POST /update (::1) 9.68ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 14.95ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 12.14ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 11.14ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 9.89ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
INFO:tornado.access:200 POST /update (::1) 14.93ms
INFO:tornado.access:200 POST /events (::1) 0.00ms
INFO:tornado.access:200 POST /win_exists (::1) 0.00ms
